FID,dec_ssh
vbl_ssh_allreg_dec.60283,3.19000006
vbl_ssh_allreg_dec.60284,3.22000003
vbl_ssh_allreg_dec.60285,3.24000001
vbl_ssh_allreg_dec.60286,3.25999999
vbl_ssh_allreg_dec.60288,3.29999995
vbl_ssh_allreg_dec.60289,3.33999991
vbl_ssh_allreg_dec.60290,3.38000011
vbl_ssh_allreg_dec.60291,3.42000008
vbl_ssh_allreg_dec.60292,3.45000005
vbl_ssh_allreg_dec.60294,3.5
vbl_ssh_allreg_dec.60295,3.51999998
vbl_ssh_allreg_dec.60296,3.53999996
vbl_ssh_allreg_dec.60297,3.55999994
vbl_ssh_allreg_dec.60298,3.56999993
vbl_ssh_allreg_dec.60299,3.58999991
vbl_ssh_allreg_dec.60300,3.5999999
vbl_ssh_allreg_dec.60301,3.61999989
vbl_ssh_allreg_dec.60302,3.63000011
vbl_ssh_allreg_dec.60303,3.6400001
vbl_ssh_allreg_dec.60304,3.6500001
vbl_ssh_allreg_dec.60305,3.67000008
vbl_ssh_allreg_dec.60306,3.68000007
vbl_ssh_allreg_dec.60307,3.69000006
vbl_ssh_allreg_dec.60308,1.19000006
vbl_ssh_allreg_dec.60309,1.24000001
vbl_ssh_allreg_dec.60310,0.94999999
vbl_ssh_allreg_dec.60311,0.97000003
vbl_ssh_allreg_dec.60312,1.07000005
vbl_ssh_allreg_dec.60313,1.12
vbl_ssh_allreg_dec.60314,1.23000002
vbl_ssh_allreg_dec.60315,1.26999998
vbl_ssh_allreg_dec.60316,1.40999997
vbl_ssh_allreg_dec.60317,1.58000004
vbl_ssh_allreg_dec.60318,1.88
vbl_ssh_allreg_dec.60319,2.11999989
vbl_ssh_allreg_dec.60320,2.31999993
vbl_ssh_allreg_dec.60321,2.45000005
vbl_ssh_allreg_dec.32,4.19000006
vbl_ssh_allreg_dec.60322,2.55999994
vbl_ssh_allreg_dec.60323,2.6500001
vbl_ssh_allreg_dec.60324,2.73000002
vbl_ssh_allreg_dec.60325,2.79999995
vbl_ssh_allreg_dec.60326,2.8599999
vbl_ssh_allreg_dec.60327,2.91000009
vbl_ssh_allreg_dec.60328,2.95000005
vbl_ssh_allreg_dec.60329,2.99000001
vbl_ssh_allreg_dec.60330,3.00999999
vbl_ssh_allreg_dec.60331,3.04999995
vbl_ssh_allreg_dec.60332,3.11999989
vbl_ssh_allreg_dec.60333,3.17000008
vbl_ssh_allreg_dec.60334,3.20000005
vbl_ssh_allreg_dec.60335,3.21000004
vbl_ssh_allreg_dec.60336,3.21000004
vbl_ssh_allreg_dec.60337,3.22000003
vbl_ssh_allreg_dec.60338,3.25999999
vbl_ssh_allreg_dec.60339,3.31999993
vbl_ssh_allreg_dec.60340,3.3599999
vbl_ssh_allreg_dec.60341,3.4000001
vbl_ssh_allreg_dec.60342,3.43000007
vbl_ssh_allreg_dec.60343,3.46000004
vbl_ssh_allreg_dec.60344,3.48000002
vbl_ssh_allreg_dec.60345,3.5
vbl_ssh_allreg_dec.60346,3.51999998
vbl_ssh_allreg_dec.60347,3.53999996
vbl_ssh_allreg_dec.60348,3.55999994
vbl_ssh_allreg_dec.60349,3.56999993
vbl_ssh_allreg_dec.60350,3.58999991
vbl_ssh_allreg_dec.60351,3.5999999
vbl_ssh_allreg_dec.60352,3.61999989
vbl_ssh_allreg_dec.60353,3.63000011
vbl_ssh_allreg_dec.60354,3.6400001
vbl_ssh_allreg_dec.60355,3.6500001
vbl_ssh_allreg_dec.33,4.19000006
vbl_ssh_allreg_dec.60356,3.67000008
vbl_ssh_allreg_dec.60357,3.67000008
vbl_ssh_allreg_dec.60358,3.68000007
vbl_ssh_allreg_dec.60359,1
vbl_ssh_allreg_dec.60360,0.79000002
vbl_ssh_allreg_dec.60361,0.52999997
vbl_ssh_allreg_dec.60362,0.56999999
