FID,mar_ssh
vbl_ssh_allreg_mar.60638,2.08999991
vbl_ssh_allreg_mar.60639,2.16000009
vbl_ssh_allreg_mar.60640,2.21000004
vbl_ssh_allreg_mar.60641,2.25999999
vbl_ssh_allreg_mar.60642,2.30999994
vbl_ssh_allreg_mar.60643,2.3599999
vbl_ssh_allreg_mar.60644,2.4000001
vbl_ssh_allreg_mar.60645,2.45000005
vbl_ssh_allreg_mar.60646,2.48000002
vbl_ssh_allreg_mar.60647,2.50999999
vbl_ssh_allreg_mar.60648,2.53999996
vbl_ssh_allreg_mar.60649,2.57999992
vbl_ssh_allreg_mar.60650,2.61999989
vbl_ssh_allreg_mar.60651,2.6400001
vbl_ssh_allreg_mar.60652,2.6400001
vbl_ssh_allreg_mar.60653,2.6400001
vbl_ssh_allreg_mar.60654,2.6400001
vbl_ssh_allreg_mar.60655,2.63000011
vbl_ssh_allreg_mar.60656,2.6099999
vbl_ssh_allreg_mar.60657,2.48000002
vbl_ssh_allreg_mar.60658,2.5999999
vbl_ssh_allreg_mar.60659,2.66000009
vbl_ssh_allreg_mar.60660,2.75
vbl_ssh_allreg_mar.60661,2.80999994
vbl_ssh_allreg_mar.60662,2.8499999
vbl_ssh_allreg_mar.60663,2.88000011
vbl_ssh_allreg_mar.60664,2.9000001
vbl_ssh_allreg_mar.60665,2.92000008
vbl_ssh_allreg_mar.60666,2.93000007
vbl_ssh_allreg_mar.38,3.71000004
vbl_ssh_allreg_mar.60667,2.95000005
vbl_ssh_allreg_mar.60668,2.96000004
vbl_ssh_allreg_mar.60669,2.97000003
vbl_ssh_allreg_mar.60670,2.98000002
vbl_ssh_allreg_mar.60671,2.99000001
vbl_ssh_allreg_mar.60672,3
vbl_ssh_allreg_mar.60673,3.00999999
vbl_ssh_allreg_mar.60674,3.00999999
vbl_ssh_allreg_mar.60675,3.01999998
vbl_ssh_allreg_mar.60676,3.02999997
vbl_ssh_allreg_mar.60677,3.02999997
vbl_ssh_allreg_mar.60678,3.03999996
vbl_ssh_allreg_mar.60679,3.03999996
vbl_ssh_allreg_mar.60680,3.04999995
vbl_ssh_allreg_mar.60681,0.41
vbl_ssh_allreg_mar.60682,0.82999998
vbl_ssh_allreg_mar.60683,1.23000002
vbl_ssh_allreg_mar.60684,1.28999996
vbl_ssh_allreg_mar.60685,1.33000004
vbl_ssh_allreg_mar.60686,1.67999995
vbl_ssh_allreg_mar.60687,1.80999994
vbl_ssh_allreg_mar.60688,1.90999997
vbl_ssh_allreg_mar.60689,1.98000002
vbl_ssh_allreg_mar.60690,2.03999996
vbl_ssh_allreg_mar.60691,2.0999999
vbl_ssh_allreg_mar.60692,2.16000009
vbl_ssh_allreg_mar.60693,2.21000004
vbl_ssh_allreg_mar.60694,2.25999999
vbl_ssh_allreg_mar.60695,2.30999994
vbl_ssh_allreg_mar.60696,2.33999991
vbl_ssh_allreg_mar.60697,2.3900001
vbl_ssh_allreg_mar.60698,2.44000006
vbl_ssh_allreg_mar.60699,2.47000003
vbl_ssh_allreg_mar.60700,2.5
vbl_ssh_allreg_mar.60701,2.52999997
vbl_ssh_allreg_mar.60703,2.57999992
vbl_ssh_allreg_mar.60704,2.57999992
vbl_ssh_allreg_mar.60705,2.56999993
vbl_ssh_allreg_mar.60706,2.54999995
vbl_ssh_allreg_mar.60707,2.47000003
vbl_ssh_allreg_mar.60708,2.25999999
vbl_ssh_allreg_mar.60709,2.11999989
vbl_ssh_allreg_mar.60710,2.45000005
vbl_ssh_allreg_mar.60711,2.63000011
vbl_ssh_allreg_mar.60712,2.72000003
vbl_ssh_allreg_mar.60713,2.78999996
vbl_ssh_allreg_mar.60714,2.82999992
vbl_ssh_allreg_mar.60715,2.8499999
vbl_ssh_allreg_mar.60716,2.88000011
vbl_ssh_allreg_mar.60717,2.9000001
vbl_ssh_allreg_mar.60718,2.91000009
vbl_ssh_allreg_mar.60719,2.92000008
vbl_ssh_allreg_mar.60720,2.94000006
vbl_ssh_allreg_mar.60721,2.95000005
vbl_ssh_allreg_mar.60722,2.96000004
vbl_ssh_allreg_mar.60723,2.97000003
vbl_ssh_allreg_mar.60724,2.98000002
vbl_ssh_allreg_mar.60725,2.99000001
vbl_ssh_allreg_mar.60726,2.99000001
vbl_ssh_allreg_mar.60727,3
vbl_ssh_allreg_mar.60728,3.00999999
vbl_ssh_allreg_mar.60729,3.00999999
vbl_ssh_allreg_mar.60730,3.01999998
vbl_ssh_allreg_mar.60731,3.02999997
vbl_ssh_allreg_mar.60732,3.02999997
vbl_ssh_allreg_mar.60733,0.30000001
vbl_ssh_allreg_mar.60734,0.83999997
vbl_ssh_allreg_mar.60735,0.97000003
vbl_ssh_allreg_mar.60736,0.89999998
vbl_ssh_allreg_mar.39,3.72000003
vbl_ssh_allreg_mar.60737,1.40999997
vbl_ssh_allreg_mar.60738,1.67999995
vbl_ssh_allreg_mar.60739,1.84000003
vbl_ssh_allreg_mar.60740,1.91999996
vbl_ssh_allreg_mar.60741,1.99000001
vbl_ssh_allreg_mar.60742,2.03999996
vbl_ssh_allreg_mar.60743,2.08999991
vbl_ssh_allreg_mar.60744,2.13000011
vbl_ssh_allreg_mar.60745,2.18000007
vbl_ssh_allreg_mar.60746,2.24000001
vbl_ssh_allreg_mar.60747,2.25999999
vbl_ssh_allreg_mar.60748,2.31999993
vbl_ssh_allreg_mar.60749,2.36999989
vbl_ssh_allreg_mar.60750,2.41000009
vbl_ssh_allreg_mar.60751,2.44000006
vbl_ssh_allreg_mar.60752,2.47000003
vbl_ssh_allreg_mar.60753,2.5
vbl_ssh_allreg_mar.60754,2.51999998
