FID,sep_ssh
vbl_ssh_allreg_sep.60817,2.22000003
vbl_ssh_allreg_sep.60818,2.24000001
vbl_ssh_allreg_sep.60819,2.25999999
vbl_ssh_allreg_sep.60820,2.26999998
vbl_ssh_allreg_sep.60821,2.27999997
vbl_ssh_allreg_sep.60822,2.28999996
vbl_ssh_allreg_sep.60823,2.29999995
vbl_ssh_allreg_sep.60824,2.30999994
vbl_ssh_allreg_sep.60825,2.32999992
vbl_ssh_allreg_sep.60826,2.33999991
vbl_ssh_allreg_sep.60827,2.33999991
vbl_ssh_allreg_sep.60828,2.3499999
vbl_ssh_allreg_sep.60829,2.3599999
vbl_ssh_allreg_sep.60830,2.36999989
vbl_ssh_allreg_sep.60831,2.38000011
vbl_ssh_allreg_sep.60832,2.38000011
vbl_ssh_allreg_sep.60833,2.3900001
vbl_ssh_allreg_sep.60834,2.4000001
vbl_ssh_allreg_sep.60835,2.4000001
vbl_ssh_allreg_sep.60836,1.12
vbl_ssh_allreg_sep.60837,1.29999995
vbl_ssh_allreg_sep.60838,1.42999995
vbl_ssh_allreg_sep.60839,1.52999997
vbl_ssh_allreg_sep.60840,1.59000003
vbl_ssh_allreg_sep.60841,1.63999999
vbl_ssh_allreg_sep.60842,1.69000006
vbl_ssh_allreg_sep.60843,1.73000002
vbl_ssh_allreg_sep.60844,1.75999999
vbl_ssh_allreg_sep.60845,1.78999996
vbl_ssh_allreg_sep.60846,1.82000005
vbl_ssh_allreg_sep.60847,1.84000003
vbl_ssh_allreg_sep.60848,1.82000005
vbl_ssh_allreg_sep.60849,1.79999995
vbl_ssh_allreg_sep.60850,1.70000005
vbl_ssh_allreg_sep.60851,1.82000005
vbl_ssh_allreg_sep.60852,1.89999998
vbl_ssh_allreg_sep.60853,1.95000005
vbl_ssh_allreg_sep.60854,1.96000004
vbl_ssh_allreg_sep.60855,1.95000005
vbl_ssh_allreg_sep.60856,1.88
vbl_ssh_allreg_sep.60857,1.84000003
vbl_ssh_allreg_sep.60858,1.63
vbl_ssh_allreg_sep.60859,1.59000003
vbl_ssh_allreg_sep.60860,1.70000005
vbl_ssh_allreg_sep.60861,1.84000003
vbl_ssh_allreg_sep.60862,1.95000005
vbl_ssh_allreg_sep.60863,2.02999997
vbl_ssh_allreg_sep.60864,2.0999999
vbl_ssh_allreg_sep.60865,2.1400001
vbl_ssh_allreg_sep.60866,2.18000007
vbl_ssh_allreg_sep.60867,2.20000005
vbl_ssh_allreg_sep.60868,2.22000003
vbl_ssh_allreg_sep.60869,2.23000002
vbl_ssh_allreg_sep.60870,2.25
vbl_ssh_allreg_sep.60871,2.25999999
vbl_ssh_allreg_sep.60872,2.26999998
vbl_ssh_allreg_sep.60873,2.27999997
vbl_ssh_allreg_sep.60874,2.28999996
vbl_ssh_allreg_sep.60875,2.29999995
vbl_ssh_allreg_sep.60876,2.31999993
vbl_ssh_allreg_sep.60877,2.32999992
vbl_ssh_allreg_sep.60878,2.33999991
vbl_ssh_allreg_sep.60879,2.3499999
vbl_ssh_allreg_sep.60880,2.3599999
vbl_ssh_allreg_sep.60881,2.36999989
vbl_ssh_allreg_sep.60882,2.36999989
vbl_ssh_allreg_sep.60883,2.38000011
vbl_ssh_allreg_sep.60884,2.3900001
vbl_ssh_allreg_sep.60885,2.3900001
vbl_ssh_allreg_sep.60886,1.30999994
vbl_ssh_allreg_sep.60887,1.42999995
vbl_ssh_allreg_sep.60888,1.54999995
vbl_ssh_allreg_sep.60889,1.59000003
vbl_ssh_allreg_sep.60890,1.65999997
vbl_ssh_allreg_sep.60891,1.70000005
vbl_ssh_allreg_sep.60892,1.74000001
vbl_ssh_allreg_sep.60893,1.75
vbl_ssh_allreg_sep.60894,1.76999998
vbl_ssh_allreg_sep.60895,1.76999998
vbl_ssh_allreg_sep.60896,1.70000005
vbl_ssh_allreg_sep.60897,1.65999997
vbl_ssh_allreg_sep.60898,1.54999995
vbl_ssh_allreg_sep.60899,1.72000003
vbl_ssh_allreg_sep.60900,1.84000003
vbl_ssh_allreg_sep.60901,1.90999997
vbl_ssh_allreg_sep.60902,1.90999997
vbl_ssh_allreg_sep.60903,1.88
vbl_ssh_allreg_sep.60904,1.85000002
vbl_ssh_allreg_sep.60905,1.74000001
vbl_ssh_allreg_sep.60906,1.69000006
vbl_ssh_allreg_sep.60907,1.73000002
vbl_ssh_allreg_sep.60908,1.80999994
vbl_ssh_allreg_sep.60909,1.88999999
vbl_ssh_allreg_sep.60910,1.96000004
vbl_ssh_allreg_sep.60911,2.02999997
vbl_ssh_allreg_sep.60912,2.07999992
vbl_ssh_allreg_sep.60913,2.11999989
vbl_ssh_allreg_sep.60914,2.1500001
vbl_ssh_allreg_sep.60915,2.17000008
vbl_ssh_allreg_sep.60916,2.19000006
vbl_ssh_allreg_sep.60917,2.21000004
vbl_ssh_allreg_sep.60918,2.23000002
vbl_ssh_allreg_sep.60919,2.25
vbl_ssh_allreg_sep.60920,2.25999999
vbl_ssh_allreg_sep.60921,2.26999998
vbl_ssh_allreg_sep.60922,2.27999997
vbl_ssh_allreg_sep.60923,2.28999996
vbl_ssh_allreg_sep.60924,2.29999995
vbl_ssh_allreg_sep.60925,2.31999993
vbl_ssh_allreg_sep.60926,2.32999992
vbl_ssh_allreg_sep.60927,2.33999991
vbl_ssh_allreg_sep.60928,2.33999991
