FID,jun_ssh
vbl_ssh_allreg_jun.60697,1.51999998
vbl_ssh_allreg_jun.60698,1.53999996
vbl_ssh_allreg_jun.60699,1.54999995
vbl_ssh_allreg_jun.60700,1.55999994
vbl_ssh_allreg_jun.60701,1.57000005
vbl_ssh_allreg_jun.60703,1.59000003
vbl_ssh_allreg_jun.60704,1.59000003
vbl_ssh_allreg_jun.60705,1.59000003
vbl_ssh_allreg_jun.60706,1.57000005
vbl_ssh_allreg_jun.60707,1.51999998
vbl_ssh_allreg_jun.60708,1.38
vbl_ssh_allreg_jun.60709,1.39999998
vbl_ssh_allreg_jun.60710,1.57000005
vbl_ssh_allreg_jun.60711,1.66999996
vbl_ssh_allreg_jun.60712,1.71000004
vbl_ssh_allreg_jun.60713,1.74000001
vbl_ssh_allreg_jun.60714,1.75999999
vbl_ssh_allreg_jun.60715,1.76999998
vbl_ssh_allreg_jun.60716,1.77999997
vbl_ssh_allreg_jun.60717,1.77999997
vbl_ssh_allreg_jun.60718,1.78999996
vbl_ssh_allreg_jun.60719,1.79999995
vbl_ssh_allreg_jun.60720,1.79999995
vbl_ssh_allreg_jun.60721,1.80999994
vbl_ssh_allreg_jun.60722,1.80999994
vbl_ssh_allreg_jun.60723,1.82000005
vbl_ssh_allreg_jun.60724,1.82000005
vbl_ssh_allreg_jun.60725,1.82000005
vbl_ssh_allreg_jun.60726,1.83000004
vbl_ssh_allreg_jun.60727,1.83000004
vbl_ssh_allreg_jun.60728,1.83000004
vbl_ssh_allreg_jun.60729,1.84000003
vbl_ssh_allreg_jun.60730,1.84000003
vbl_ssh_allreg_jun.60731,1.84000003
vbl_ssh_allreg_jun.60732,1.84000003
vbl_ssh_allreg_jun.60733,0.17
vbl_ssh_allreg_jun.60734,0.56999999
vbl_ssh_allreg_jun.60735,0.66000003
vbl_ssh_allreg_jun.60736,0.61000001
vbl_ssh_allreg_jun.39,1.92999995
vbl_ssh_allreg_jun.60737,0.97000003
vbl_ssh_allreg_jun.60738,1.13999999
vbl_ssh_allreg_jun.60739,1.24000001
vbl_ssh_allreg_jun.60740,1.28999996
vbl_ssh_allreg_jun.60741,1.32000005
vbl_ssh_allreg_jun.60742,1.34000003
vbl_ssh_allreg_jun.60743,1.37
vbl_ssh_allreg_jun.60744,1.39999998
vbl_ssh_allreg_jun.60745,1.41999996
vbl_ssh_allreg_jun.60746,1.45000005
vbl_ssh_allreg_jun.60747,1.46000004
vbl_ssh_allreg_jun.60748,1.49000001
vbl_ssh_allreg_jun.60749,1.5
vbl_ssh_allreg_jun.60750,1.51999998
vbl_ssh_allreg_jun.60751,1.53999996
vbl_ssh_allreg_jun.60752,1.54999995
vbl_ssh_allreg_jun.60753,1.55999994
vbl_ssh_allreg_jun.60754,1.55999994
vbl_ssh_allreg_jun.60755,1.55999994
vbl_ssh_allreg_jun.60756,1.54999995
vbl_ssh_allreg_jun.60757,1.51999998
vbl_ssh_allreg_jun.60758,1.44000006
vbl_ssh_allreg_jun.60759,1.26999998
vbl_ssh_allreg_jun.60760,1.16999996
vbl_ssh_allreg_jun.60761,1.45000005
vbl_ssh_allreg_jun.60762,1.59000003
vbl_ssh_allreg_jun.60763,1.65999997
vbl_ssh_allreg_jun.60764,1.70000005
vbl_ssh_allreg_jun.60765,1.73000002
vbl_ssh_allreg_jun.60766,1.75
vbl_ssh_allreg_jun.60767,1.75999999
vbl_ssh_allreg_jun.60768,1.76999998
vbl_ssh_allreg_jun.60769,1.77999997
vbl_ssh_allreg_jun.60770,1.78999996
vbl_ssh_allreg_jun.60771,1.78999996
vbl_ssh_allreg_jun.60772,1.79999995
vbl_ssh_allreg_jun.60773,1.79999995
vbl_ssh_allreg_jun.60774,1.80999994
vbl_ssh_allreg_jun.60775,1.80999994
vbl_ssh_allreg_jun.60776,1.82000005
vbl_ssh_allreg_jun.60777,1.82000005
vbl_ssh_allreg_jun.60778,1.82000005
vbl_ssh_allreg_jun.60779,1.83000004
vbl_ssh_allreg_jun.60780,1.83000004
vbl_ssh_allreg_jun.60781,1.83000004
vbl_ssh_allreg_jun.60782,1.83000004
vbl_ssh_allreg_jun.60783,1.83000004
vbl_ssh_allreg_jun.60784,1.83000004
vbl_ssh_allreg_jun.60785,0.41999999
vbl_ssh_allreg_jun.60786,0.63
vbl_ssh_allreg_jun.60787,1.09000003
vbl_ssh_allreg_jun.60788,1.21000004
vbl_ssh_allreg_jun.60789,1.24000001
vbl_ssh_allreg_jun.60790,1.28999996
vbl_ssh_allreg_jun.60791,1.30999994
vbl_ssh_allreg_jun.60792,1.34000003
vbl_ssh_allreg_jun.60793,1.36000001
vbl_ssh_allreg_jun.60794,1.38
vbl_ssh_allreg_jun.60795,1.40999997
vbl_ssh_allreg_jun.60796,1.42999995
vbl_ssh_allreg_jun.60797,1.45000005
vbl_ssh_allreg_jun.60798,1.46000004
vbl_ssh_allreg_jun.60799,1.47000003
vbl_ssh_allreg_jun.60800,1.48000002
vbl_ssh_allreg_jun.60801,1.48000002
vbl_ssh_allreg_jun.60802,1.51999998
vbl_ssh_allreg_jun.60803,1.52999997
vbl_ssh_allreg_jun.60804,1.53999996
vbl_ssh_allreg_jun.60805,1.52999997
vbl_ssh_allreg_jun.40,1.92999995
vbl_ssh_allreg_jun.60806,1.5
vbl_ssh_allreg_jun.60807,1.42999995
vbl_ssh_allreg_jun.60808,1.37
vbl_ssh_allreg_jun.60809,1.04999995
vbl_ssh_allreg_jun.60810,1.19000006
vbl_ssh_allreg_jun.60811,1.37
vbl_ssh_allreg_jun.60812,1.51999998
vbl_ssh_allreg_jun.60813,1.60000002
vbl_ssh_allreg_jun.60814,1.65999997
vbl_ssh_allreg_jun.60815,1.70000005
vbl_ssh_allreg_jun.60816,1.72000003
vbl_ssh_allreg_jun.60817,1.74000001
vbl_ssh_allreg_jun.60818,1.75
vbl_ssh_allreg_jun.60819,1.75999999
vbl_ssh_allreg_jun.60820,1.76999998
vbl_ssh_allreg_jun.60821,1.77999997
vbl_ssh_allreg_jun.60822,1.77999997
vbl_ssh_allreg_jun.60823,1.78999996
vbl_ssh_allreg_jun.60824,1.78999996
vbl_ssh_allreg_jun.60825,1.79999995
vbl_ssh_allreg_jun.60826,1.80999994
vbl_ssh_allreg_jun.60827,1.80999994
vbl_ssh_allreg_jun.60828,1.80999994
vbl_ssh_allreg_jun.60829,1.82000005
vbl_ssh_allreg_jun.60830,1.82000005
vbl_ssh_allreg_jun.60831,1.82000005
vbl_ssh_allreg_jun.60832,1.82000005
vbl_ssh_allreg_jun.60833,1.83000004
vbl_ssh_allreg_jun.60834,1.83000004
vbl_ssh_allreg_jun.60835,1.83000004
vbl_ssh_allreg_jun.60836,0.94999999
vbl_ssh_allreg_jun.60837,1.09000003
vbl_ssh_allreg_jun.60838,1.17999995
vbl_ssh_allreg_jun.60839,1.24000001
vbl_ssh_allreg_jun.60840,1.27999997
vbl_ssh_allreg_jun.60841,1.32000005
vbl_ssh_allreg_jun.60842,1.35000002
vbl_ssh_allreg_jun.60843,1.37
vbl_ssh_allreg_jun.60844,1.38
vbl_ssh_allreg_jun.60845,1.39999998
vbl_ssh_allreg_jun.60846,1.40999997
vbl_ssh_allreg_jun.60847,1.40999997
vbl_ssh_allreg_jun.60848,1.38
vbl_ssh_allreg_jun.60849,1.34000003
vbl_ssh_allreg_jun.60850,1.32000005
vbl_ssh_allreg_jun.60851,1.42999995
vbl_ssh_allreg_jun.60852,1.47000003
vbl_ssh_allreg_jun.60853,1.5
vbl_ssh_allreg_jun.60854,1.5
vbl_ssh_allreg_jun.60855,1.48000002
vbl_ssh_allreg_jun.60856,1.42999995
vbl_ssh_allreg_jun.60857,1.40999997
vbl_ssh_allreg_jun.60858,1.27999997
vbl_ssh_allreg_jun.60859,1.26999998
vbl_ssh_allreg_jun.60860,1.36000001
vbl_ssh_allreg_jun.60861,1.47000003
vbl_ssh_allreg_jun.60862,1.53999996
vbl_ssh_allreg_jun.60863,1.61000001
