FID,aug_ssh
vbl_ssh_allreg_aug.60627,0.34
vbl_ssh_allreg_aug.60628,0.34
vbl_ssh_allreg_aug.60629,0.67000002
vbl_ssh_allreg_aug.60630,0.83999997
vbl_ssh_allreg_aug.60631,0.91000003
vbl_ssh_allreg_aug.60633,1.04999995
vbl_ssh_allreg_aug.60634,1.09000003
vbl_ssh_allreg_aug.60635,1.16999996
vbl_ssh_allreg_aug.60636,1.22000003
vbl_ssh_allreg_aug.60637,1.25999999
vbl_ssh_allreg_aug.60638,1.29999995
vbl_ssh_allreg_aug.60639,1.34000003
vbl_ssh_allreg_aug.60640,1.38
vbl_ssh_allreg_aug.60641,1.40999997
vbl_ssh_allreg_aug.60642,1.45000005
vbl_ssh_allreg_aug.60643,1.47000003
vbl_ssh_allreg_aug.60644,1.5
vbl_ssh_allreg_aug.60645,1.51999998
vbl_ssh_allreg_aug.60646,1.53999996
vbl_ssh_allreg_aug.60647,1.55999994
vbl_ssh_allreg_aug.60648,1.57000005
vbl_ssh_allreg_aug.60649,1.59000003
vbl_ssh_allreg_aug.60650,1.60000002
vbl_ssh_allreg_aug.60651,1.62
vbl_ssh_allreg_aug.60652,1.63
vbl_ssh_allreg_aug.60653,1.63999999
vbl_ssh_allreg_aug.60654,1.64999998
vbl_ssh_allreg_aug.60655,1.64999998
vbl_ssh_allreg_aug.60656,1.64999998
vbl_ssh_allreg_aug.60657,1.60000002
vbl_ssh_allreg_aug.60658,1.63999999
vbl_ssh_allreg_aug.60659,1.64999998
vbl_ssh_allreg_aug.60660,1.69000006
vbl_ssh_allreg_aug.60661,1.72000003
vbl_ssh_allreg_aug.60662,1.74000001
vbl_ssh_allreg_aug.60663,1.75
vbl_ssh_allreg_aug.60664,1.75999999
vbl_ssh_allreg_aug.60665,1.76999998
vbl_ssh_allreg_aug.60666,1.77999997
vbl_ssh_allreg_aug.38,1.99000001
vbl_ssh_allreg_aug.60667,1.78999996
vbl_ssh_allreg_aug.60668,1.78999996
vbl_ssh_allreg_aug.60669,1.79999995
vbl_ssh_allreg_aug.60670,1.80999994
vbl_ssh_allreg_aug.60671,1.80999994
vbl_ssh_allreg_aug.60672,1.82000005
vbl_ssh_allreg_aug.60673,1.82000005
vbl_ssh_allreg_aug.60674,1.83000004
vbl_ssh_allreg_aug.60675,1.83000004
vbl_ssh_allreg_aug.60676,1.84000003
vbl_ssh_allreg_aug.60677,1.84000003
vbl_ssh_allreg_aug.60678,1.85000002
vbl_ssh_allreg_aug.60679,1.85000002
vbl_ssh_allreg_aug.60680,1.85000002
vbl_ssh_allreg_aug.60681,0.28
vbl_ssh_allreg_aug.60682,0.52999997
vbl_ssh_allreg_aug.60683,0.79000002
vbl_ssh_allreg_aug.60684,0.82999998
vbl_ssh_allreg_aug.60685,0.83999997
vbl_ssh_allreg_aug.60686,1.04999995
vbl_ssh_allreg_aug.60687,1.12
vbl_ssh_allreg_aug.60688,1.19000006
vbl_ssh_allreg_aug.60689,1.23000002
vbl_ssh_allreg_aug.60690,1.26999998
vbl_ssh_allreg_aug.60691,1.30999994
vbl_ssh_allreg_aug.60692,1.35000002
vbl_ssh_allreg_aug.60693,1.38
vbl_ssh_allreg_aug.60694,1.41999996
vbl_ssh_allreg_aug.60695,1.45000005
vbl_ssh_allreg_aug.60696,1.46000004
vbl_ssh_allreg_aug.60697,1.49000001
vbl_ssh_allreg_aug.60698,1.51999998
vbl_ssh_allreg_aug.60699,1.53999996
vbl_ssh_allreg_aug.60700,1.54999995
vbl_ssh_allreg_aug.60701,1.57000005
vbl_ssh_allreg_aug.60703,1.59000003
vbl_ssh_allreg_aug.60704,1.60000002
vbl_ssh_allreg_aug.60705,1.61000001
vbl_ssh_allreg_aug.60706,1.60000002
vbl_ssh_allreg_aug.60707,1.58000004
vbl_ssh_allreg_aug.60708,1.49000001
vbl_ssh_allreg_aug.60709,1.27999997
vbl_ssh_allreg_aug.60710,1.5
vbl_ssh_allreg_aug.60711,1.61000001
vbl_ssh_allreg_aug.60712,1.66999996
vbl_ssh_allreg_aug.60713,1.71000004
vbl_ssh_allreg_aug.60714,1.73000002
vbl_ssh_allreg_aug.60715,1.74000001
vbl_ssh_allreg_aug.60716,1.75
vbl_ssh_allreg_aug.60717,1.75999999
vbl_ssh_allreg_aug.60718,1.76999998
vbl_ssh_allreg_aug.60719,1.77999997
vbl_ssh_allreg_aug.60720,1.77999997
vbl_ssh_allreg_aug.60721,1.78999996
vbl_ssh_allreg_aug.60722,1.79999995
vbl_ssh_allreg_aug.60723,1.79999995
vbl_ssh_allreg_aug.60724,1.80999994
vbl_ssh_allreg_aug.60725,1.82000005
vbl_ssh_allreg_aug.60726,1.82000005
vbl_ssh_allreg_aug.60727,1.83000004
vbl_ssh_allreg_aug.60728,1.83000004
vbl_ssh_allreg_aug.60729,1.83000004
vbl_ssh_allreg_aug.60730,1.84000003
vbl_ssh_allreg_aug.60731,1.85000002
vbl_ssh_allreg_aug.60732,1.85000002
vbl_ssh_allreg_aug.60733,0.18000001
vbl_ssh_allreg_aug.60734,0.56
vbl_ssh_allreg_aug.60735,0.64999998
vbl_ssh_allreg_aug.60736,0.52999997
vbl_ssh_allreg_aug.39,1.99000001
vbl_ssh_allreg_aug.60737,0.86000001
vbl_ssh_allreg_aug.60738,1.03999996
vbl_ssh_allreg_aug.60739,1.13999999
vbl_ssh_allreg_aug.60740,1.20000005
vbl_ssh_allreg_aug.60741,1.24000001
vbl_ssh_allreg_aug.60742,1.26999998
vbl_ssh_allreg_aug.60743,1.30999994
vbl_ssh_allreg_aug.60744,1.34000003
vbl_ssh_allreg_aug.60745,1.37
vbl_ssh_allreg_aug.60746,1.40999997
vbl_ssh_allreg_aug.60747,1.42999995
vbl_ssh_allreg_aug.60748,1.46000004
vbl_ssh_allreg_aug.60749,1.49000001
vbl_ssh_allreg_aug.60750,1.50999999
vbl_ssh_allreg_aug.60751,1.52999997
vbl_ssh_allreg_aug.60752,1.53999996
vbl_ssh_allreg_aug.60753,1.54999995
vbl_ssh_allreg_aug.60754,1.55999994
vbl_ssh_allreg_aug.60755,1.57000005
vbl_ssh_allreg_aug.60756,1.57000005
vbl_ssh_allreg_aug.60757,1.55999994
vbl_ssh_allreg_aug.60758,1.51999998
vbl_ssh_allreg_aug.60759,1.38999999
vbl_ssh_allreg_aug.60760,1.03999996
vbl_ssh_allreg_aug.60761,1.34000003
vbl_ssh_allreg_aug.60762,1.51999998
vbl_ssh_allreg_aug.60763,1.60000002
vbl_ssh_allreg_aug.60764,1.65999997
vbl_ssh_allreg_aug.60765,1.69000006
vbl_ssh_allreg_aug.60766,1.71000004
vbl_ssh_allreg_aug.60767,1.73000002
vbl_ssh_allreg_aug.60768,1.74000001
vbl_ssh_allreg_aug.60769,1.75
vbl_ssh_allreg_aug.60770,1.75999999
vbl_ssh_allreg_aug.60771,1.76999998
vbl_ssh_allreg_aug.60772,1.77999997
vbl_ssh_allreg_aug.60773,1.77999997
vbl_ssh_allreg_aug.60774,1.78999996
vbl_ssh_allreg_aug.60775,1.79999995
vbl_ssh_allreg_aug.60776,1.79999995
vbl_ssh_allreg_aug.60777,1.80999994
vbl_ssh_allreg_aug.60778,1.80999994
vbl_ssh_allreg_aug.60779,1.82000005
vbl_ssh_allreg_aug.60780,1.82000005
vbl_ssh_allreg_aug.60781,1.83000004
vbl_ssh_allreg_aug.60782,1.83000004
vbl_ssh_allreg_aug.60783,1.84000003
vbl_ssh_allreg_aug.60784,1.84000003
vbl_ssh_allreg_aug.60785,0.33000001
vbl_ssh_allreg_aug.60786,0.50999999
vbl_ssh_allreg_aug.60787,0.98000002
vbl_ssh_allreg_aug.60788,1.11000001
vbl_ssh_allreg_aug.60789,1.14999998
vbl_ssh_allreg_aug.60790,1.21000004
vbl_ssh_allreg_aug.60791,1.25
vbl_ssh_allreg_aug.60792,1.27999997
vbl_ssh_allreg_aug.60793,1.30999994
vbl_ssh_allreg_aug.60794,1.34000003
vbl_ssh_allreg_aug.60795,1.37
vbl_ssh_allreg_aug.60796,1.39999998
vbl_ssh_allreg_aug.60797,1.42999995
vbl_ssh_allreg_aug.60798,1.45000005
vbl_ssh_allreg_aug.60799,1.47000003
vbl_ssh_allreg_aug.60800,1.48000002
vbl_ssh_allreg_aug.60801,1.48000002
vbl_ssh_allreg_aug.60802,1.50999999
vbl_ssh_allreg_aug.60803,1.52999997
vbl_ssh_allreg_aug.60804,1.53999996
vbl_ssh_allreg_aug.60805,1.53999996
vbl_ssh_allreg_aug.40,1.99000001
vbl_ssh_allreg_aug.60806,1.52999997
vbl_ssh_allreg_aug.60807,1.48000002
vbl_ssh_allreg_aug.60808,1.44000006
vbl_ssh_allreg_aug.60809,1.03999996
vbl_ssh_allreg_aug.60810,1.10000002
vbl_ssh_allreg_aug.60811,1.26999998
vbl_ssh_allreg_aug.60812,1.44000006
vbl_ssh_allreg_aug.60813,1.52999997
vbl_ssh_allreg_aug.60814,1.60000002
vbl_ssh_allreg_aug.60815,1.64999998
vbl_ssh_allreg_aug.60816,1.67999995
vbl_ssh_allreg_aug.60817,1.70000005
vbl_ssh_allreg_aug.60818,1.71000004
vbl_ssh_allreg_aug.60819,1.73000002
vbl_ssh_allreg_aug.60820,1.74000001
vbl_ssh_allreg_aug.60821,1.75
vbl_ssh_allreg_aug.60822,1.75999999
vbl_ssh_allreg_aug.60823,1.75999999
vbl_ssh_allreg_aug.60824,1.76999998
vbl_ssh_allreg_aug.60825,1.77999997
vbl_ssh_allreg_aug.60826,1.78999996
vbl_ssh_allreg_aug.60827,1.79999995
vbl_ssh_allreg_aug.60828,1.79999995
vbl_ssh_allreg_aug.60829,1.80999994
vbl_ssh_allreg_aug.60830,1.80999994
vbl_ssh_allreg_aug.60831,1.82000005
vbl_ssh_allreg_aug.60832,1.82000005
vbl_ssh_allreg_aug.60833,1.83000004
vbl_ssh_allreg_aug.60834,1.83000004
vbl_ssh_allreg_aug.60835,1.83000004
vbl_ssh_allreg_aug.60836,0.86000001
vbl_ssh_allreg_aug.60837,1
vbl_ssh_allreg_aug.60838,1.09000003
vbl_ssh_allreg_aug.60839,1.16999996
vbl_ssh_allreg_aug.60840,1.21000004
vbl_ssh_allreg_aug.60841,1.25999999
vbl_ssh_allreg_aug.60842,1.29999995
vbl_ssh_allreg_aug.60843,1.33000004
vbl_ssh_allreg_aug.60844,1.35000002
vbl_ssh_allreg_aug.60845,1.37
vbl_ssh_allreg_aug.60846,1.39999998
vbl_ssh_allreg_aug.60847,1.40999997
vbl_ssh_allreg_aug.60848,1.39999998
vbl_ssh_allreg_aug.60849,1.38999999
vbl_ssh_allreg_aug.60850,1.32000005
vbl_ssh_allreg_aug.60851,1.38999999
vbl_ssh_allreg_aug.60852,1.45000005
vbl_ssh_allreg_aug.60853,1.49000001
vbl_ssh_allreg_aug.60854,1.50999999
vbl_ssh_allreg_aug.60855,1.5
vbl_ssh_allreg_aug.60856,1.45000005
vbl_ssh_allreg_aug.60857,1.42999995
vbl_ssh_allreg_aug.60858,1.25999999
vbl_ssh_allreg_aug.60859,1.21000004
vbl_ssh_allreg_aug.60860,1.27999997
vbl_ssh_allreg_aug.60861,1.38
vbl_ssh_allreg_aug.60862,1.47000003
vbl_ssh_allreg_aug.60863,1.53999996
vbl_ssh_allreg_aug.60864,1.60000002
vbl_ssh_allreg_aug.60865,1.63
vbl_ssh_allreg_aug.60866,1.65999997
vbl_ssh_allreg_aug.60867,1.67999995
vbl_ssh_allreg_aug.60868,1.70000005
vbl_ssh_allreg_aug.60869,1.71000004
vbl_ssh_allreg_aug.60870,1.72000003
vbl_ssh_allreg_aug.60871,1.73000002
