FID,ann_ssh
vbl_ssh_allreg_ann.60627,0.47
vbl_ssh_allreg_ann.60628,0.44
vbl_ssh_allreg_ann.60629,1
vbl_ssh_allreg_ann.60630,1.24000001
vbl_ssh_allreg_ann.60631,1.34000003
vbl_ssh_allreg_ann.60633,1.51999998
vbl_ssh_allreg_ann.60634,1.59000003
vbl_ssh_allreg_ann.60635,1.70000005
vbl_ssh_allreg_ann.60636,1.75999999
vbl_ssh_allreg_ann.60637,1.80999994
vbl_ssh_allreg_ann.60638,1.86000001
vbl_ssh_allreg_ann.60639,1.91999996
vbl_ssh_allreg_ann.60640,1.97000003
vbl_ssh_allreg_ann.60641,2.00999999
vbl_ssh_allreg_ann.60642,2.04999995
vbl_ssh_allreg_ann.60643,2.08999991
vbl_ssh_allreg_ann.60644,2.11999989
vbl_ssh_allreg_ann.60645,2.1500001
vbl_ssh_allreg_ann.60646,2.18000007
vbl_ssh_allreg_ann.60647,2.21000004
vbl_ssh_allreg_ann.60648,2.23000002
vbl_ssh_allreg_ann.60649,2.25999999
vbl_ssh_allreg_ann.60650,2.28999996
vbl_ssh_allreg_ann.60651,2.29999995
vbl_ssh_allreg_ann.60652,2.30999994
vbl_ssh_allreg_ann.60653,2.31999993
vbl_ssh_allreg_ann.60654,2.31999993
vbl_ssh_allreg_ann.60655,2.30999994
vbl_ssh_allreg_ann.60656,2.29999995
vbl_ssh_allreg_ann.60657,2.20000005
vbl_ssh_allreg_ann.60658,2.28999996
vbl_ssh_allreg_ann.60659,2.33999991
vbl_ssh_allreg_ann.60660,2.42000008
vbl_ssh_allreg_ann.60661,2.46000004
vbl_ssh_allreg_ann.60662,2.49000001
vbl_ssh_allreg_ann.60663,2.50999999
vbl_ssh_allreg_ann.60664,2.52999997
vbl_ssh_allreg_ann.60665,2.53999996
vbl_ssh_allreg_ann.60666,2.54999995
vbl_ssh_allreg_ann.38,3.06999993
vbl_ssh_allreg_ann.60667,2.56999993
vbl_ssh_allreg_ann.60668,2.57999992
vbl_ssh_allreg_ann.60669,2.58999991
vbl_ssh_allreg_ann.60670,2.58999991
vbl_ssh_allreg_ann.60671,2.5999999
vbl_ssh_allreg_ann.60672,2.6099999
vbl_ssh_allreg_ann.60673,2.61999989
vbl_ssh_allreg_ann.60674,2.63000011
vbl_ssh_allreg_ann.60675,2.63000011
vbl_ssh_allreg_ann.60676,2.6400001
vbl_ssh_allreg_ann.60677,2.6500001
vbl_ssh_allreg_ann.60678,2.66000009
vbl_ssh_allreg_ann.60679,2.66000009
vbl_ssh_allreg_ann.60680,2.66000009
vbl_ssh_allreg_ann.60681,0.37
vbl_ssh_allreg_ann.60682,0.75
vbl_ssh_allreg_ann.60683,1.12
vbl_ssh_allreg_ann.60684,1.16999996
vbl_ssh_allreg_ann.60685,1.21000004
vbl_ssh_allreg_ann.60686,1.50999999
vbl_ssh_allreg_ann.60687,1.63
vbl_ssh_allreg_ann.60688,1.71000004
vbl_ssh_allreg_ann.60689,1.76999998
vbl_ssh_allreg_ann.60690,1.82000005
vbl_ssh_allreg_ann.60691,1.87
vbl_ssh_allreg_ann.60692,1.91999996
vbl_ssh_allreg_ann.60693,1.97000003
vbl_ssh_allreg_ann.60694,2.00999999
vbl_ssh_allreg_ann.60695,2.04999995
vbl_ssh_allreg_ann.60696,2.06999993
vbl_ssh_allreg_ann.60697,2.1099999
vbl_ssh_allreg_ann.60698,2.1500001
vbl_ssh_allreg_ann.60699,2.18000007
vbl_ssh_allreg_ann.60700,2.20000005
vbl_ssh_allreg_ann.60701,2.22000003
vbl_ssh_allreg_ann.60703,2.25999999
vbl_ssh_allreg_ann.60704,2.25999999
vbl_ssh_allreg_ann.60705,2.25999999
vbl_ssh_allreg_ann.60706,2.24000001
vbl_ssh_allreg_ann.60707,2.18000007
vbl_ssh_allreg_ann.60708,2
vbl_ssh_allreg_ann.60709,1.87
vbl_ssh_allreg_ann.60710,2.1500001
vbl_ssh_allreg_ann.60711,2.30999994
vbl_ssh_allreg_ann.60712,2.3900001
vbl_ssh_allreg_ann.60713,2.44000006
vbl_ssh_allreg_ann.60714,2.47000003
vbl_ssh_allreg_ann.60715,2.5
vbl_ssh_allreg_ann.60716,2.50999999
vbl_ssh_allreg_ann.60717,2.52999997
vbl_ssh_allreg_ann.60718,2.53999996
vbl_ssh_allreg_ann.60719,2.54999995
vbl_ssh_allreg_ann.60720,2.55999994
vbl_ssh_allreg_ann.60721,2.56999993
vbl_ssh_allreg_ann.60722,2.57999992
vbl_ssh_allreg_ann.60723,2.58999991
vbl_ssh_allreg_ann.60724,2.5999999
vbl_ssh_allreg_ann.60725,2.6099999
vbl_ssh_allreg_ann.60726,2.6099999
vbl_ssh_allreg_ann.60727,2.61999989
vbl_ssh_allreg_ann.60728,2.63000011
vbl_ssh_allreg_ann.60729,2.63000011
vbl_ssh_allreg_ann.60730,2.6400001
vbl_ssh_allreg_ann.60731,2.6500001
vbl_ssh_allreg_ann.60732,2.6500001
vbl_ssh_allreg_ann.60733,0.25999999
vbl_ssh_allreg_ann.60734,0.76999998
vbl_ssh_allreg_ann.60735,0.88
vbl_ssh_allreg_ann.60736,0.80000001
vbl_ssh_allreg_ann.39,3.06999993
vbl_ssh_allreg_ann.60737,1.25999999
vbl_ssh_allreg_ann.60738,1.50999999
vbl_ssh_allreg_ann.60739,1.64999998
vbl_ssh_allreg_ann.60740,1.73000002
vbl_ssh_allreg_ann.60741,1.77999997
vbl_ssh_allreg_ann.60742,1.82000005
