FID,jan_ssh
vbl_ssh_allreg_jan.60802,2.78999996
vbl_ssh_allreg_jan.60803,2.81999993
vbl_ssh_allreg_jan.60804,2.81999993
vbl_ssh_allreg_jan.60805,2.79999995
vbl_ssh_allreg_jan.40,3.8900001
vbl_ssh_allreg_jan.60806,2.74000001
vbl_ssh_allreg_jan.60807,2.58999991
vbl_ssh_allreg_jan.60808,2.47000003
vbl_ssh_allreg_jan.60809,2.00999999
vbl_ssh_allreg_jan.60810,2.24000001
vbl_ssh_allreg_jan.60811,2.56999993
vbl_ssh_allreg_jan.60812,2.79999995
vbl_ssh_allreg_jan.60813,2.94000006
vbl_ssh_allreg_jan.60814,3.02999997
vbl_ssh_allreg_jan.60815,3.0999999
vbl_ssh_allreg_jan.60816,3.1400001
vbl_ssh_allreg_jan.60817,3.18000007
vbl_ssh_allreg_jan.60818,3.20000005
vbl_ssh_allreg_jan.60819,3.22000003
vbl_ssh_allreg_jan.60820,3.24000001
vbl_ssh_allreg_jan.60821,3.25
vbl_ssh_allreg_jan.60822,3.26999998
vbl_ssh_allreg_jan.60823,3.26999998
vbl_ssh_allreg_jan.60824,3.28999996
vbl_ssh_allreg_jan.60825,3.30999994
vbl_ssh_allreg_jan.60826,3.31999993
vbl_ssh_allreg_jan.60827,3.33999991
vbl_ssh_allreg_jan.60828,3.33999991
vbl_ssh_allreg_jan.60829,3.3599999
vbl_ssh_allreg_jan.60830,3.36999989
vbl_ssh_allreg_jan.60831,3.36999989
vbl_ssh_allreg_jan.60832,3.38000011
vbl_ssh_allreg_jan.60833,3.3900001
vbl_ssh_allreg_jan.60834,3.4000001
vbl_ssh_allreg_jan.60835,3.4000001
vbl_ssh_allreg_jan.60836,1.63999999
vbl_ssh_allreg_jan.60837,1.90999997
vbl_ssh_allreg_jan.60838,2.1099999
vbl_ssh_allreg_jan.60839,2.24000001
vbl_ssh_allreg_jan.60840,2.31999993
vbl_ssh_allreg_jan.60841,2.3900001
vbl_ssh_allreg_jan.60842,2.45000005
vbl_ssh_allreg_jan.60843,2.47000003
vbl_ssh_allreg_jan.60844,2.49000001
vbl_ssh_allreg_jan.60845,2.51999998
vbl_ssh_allreg_jan.60846,2.55999994
vbl_ssh_allreg_jan.60847,2.55999994
vbl_ssh_allreg_jan.60848,2.5
vbl_ssh_allreg_jan.60849,2.42000008
vbl_ssh_allreg_jan.60850,2.33999991
vbl_ssh_allreg_jan.60851,2.6099999
vbl_ssh_allreg_jan.60852,2.70000005
vbl_ssh_allreg_jan.60853,2.75
vbl_ssh_allreg_jan.60854,2.75
vbl_ssh_allreg_jan.60855,2.70000005
vbl_ssh_allreg_jan.60856,2.58999991
vbl_ssh_allreg_jan.60857,2.53999996
vbl_ssh_allreg_jan.60858,2.3599999
vbl_ssh_allreg_jan.60859,2.36999989
vbl_ssh_allreg_jan.60860,2.53999996
vbl_ssh_allreg_jan.60861,2.71000004
vbl_ssh_allreg_jan.60862,2.83999991
vbl_ssh_allreg_jan.60863,2.95000005
vbl_ssh_allreg_jan.60864,3.01999998
vbl_ssh_allreg_jan.60865,3.06999993
vbl_ssh_allreg_jan.60866,3.1099999
vbl_ssh_allreg_jan.60867,3.1500001
vbl_ssh_allreg_jan.60868,3.17000008
vbl_ssh_allreg_jan.60869,3.18000007
vbl_ssh_allreg_jan.60870,3.20000005
vbl_ssh_allreg_jan.60871,3.21000004
vbl_ssh_allreg_jan.60872,3.22000003
vbl_ssh_allreg_jan.60873,3.23000002
vbl_ssh_allreg_jan.60874,3.24000001
vbl_ssh_allreg_jan.60875,3.26999998
vbl_ssh_allreg_jan.60876,3.28999996
vbl_ssh_allreg_jan.60877,3.30999994
vbl_ssh_allreg_jan.60878,3.32999992
vbl_ssh_allreg_jan.60879,3.33999991
vbl_ssh_allreg_jan.60880,3.3499999
vbl_ssh_allreg_jan.60881,3.3599999
vbl_ssh_allreg_jan.60882,3.36999989
vbl_ssh_allreg_jan.60883,3.38000011
vbl_ssh_allreg_jan.60884,3.3900001
vbl_ssh_allreg_jan.60885,3.3900001
vbl_ssh_allreg_jan.60886,1.90999997
vbl_ssh_allreg_jan.60887,2.07999992
vbl_ssh_allreg_jan.60888,2.24000001
vbl_ssh_allreg_jan.60889,2.29999995
vbl_ssh_allreg_jan.60890,2.38000011
vbl_ssh_allreg_jan.60891,2.42000008
vbl_ssh_allreg_jan.60892,2.44000006
vbl_ssh_allreg_jan.60893,2.45000005
vbl_ssh_allreg_jan.60894,2.47000003
vbl_ssh_allreg_jan.60895,2.44000006
vbl_ssh_allreg_jan.60896,2.29999995
vbl_ssh_allreg_jan.60897,2.19000006
vbl_ssh_allreg_jan.60898,2.27999997
vbl_ssh_allreg_jan.60899,2.52999997
vbl_ssh_allreg_jan.60900,2.6400001
vbl_ssh_allreg_jan.60901,2.69000006
vbl_ssh_allreg_jan.60902,2.68000007
vbl_ssh_allreg_jan.60903,2.61999989
vbl_ssh_allreg_jan.60904,2.57999992
vbl_ssh_allreg_jan.60905,2.48000002
vbl_ssh_allreg_jan.60906,2.46000004
vbl_ssh_allreg_jan.60907,2.54999995
vbl_ssh_allreg_jan.60908,2.67000008
vbl_ssh_allreg_jan.60909,2.75999999
vbl_ssh_allreg_jan.60910,2.8499999
vbl_ssh_allreg_jan.60911,2.92000008
vbl_ssh_allreg_jan.60912,2.99000001
vbl_ssh_allreg_jan.60913,3.02999997
vbl_ssh_allreg_jan.60914,3.06999993
vbl_ssh_allreg_jan.60915,3.0999999
vbl_ssh_allreg_jan.60916,3.11999989
vbl_ssh_allreg_jan.60917,3.1500001
vbl_ssh_allreg_jan.60918,3.17000008
vbl_ssh_allreg_jan.60919,3.20000005
vbl_ssh_allreg_jan.60920,3.22000003
vbl_ssh_allreg_jan.60921,3.22000003
vbl_ssh_allreg_jan.60922,3.22000003
vbl_ssh_allreg_jan.60923,3.24000001
vbl_ssh_allreg_jan.60924,3.25999999
vbl_ssh_allreg_jan.60925,3.28999996
vbl_ssh_allreg_jan.60926,3.29999995
vbl_ssh_allreg_jan.60927,3.31999993
vbl_ssh_allreg_jan.60928,3.32999992
vbl_ssh_allreg_jan.60929,3.33999991
vbl_ssh_allreg_jan.60930,3.3499999
vbl_ssh_allreg_jan.60931,3.3599999
vbl_ssh_allreg_jan.60932,3.36999989
vbl_ssh_allreg_jan.60933,3.38000011
vbl_ssh_allreg_jan.60934,1.48000002
vbl_ssh_allreg_jan.60935,1.79999995
