FID,feb_ssh
vbl_ssh_allreg_feb.60788,2.07999992
vbl_ssh_allreg_feb.60789,2.16000009
vbl_ssh_allreg_feb.60790,2.25
vbl_ssh_allreg_feb.60791,2.29999995
vbl_ssh_allreg_feb.60792,2.33999991
vbl_ssh_allreg_feb.60793,2.36999989
vbl_ssh_allreg_feb.60794,2.3900001
vbl_ssh_allreg_feb.60795,2.46000004
vbl_ssh_allreg_feb.60796,2.5
vbl_ssh_allreg_feb.60797,2.54999995
vbl_ssh_allreg_feb.60798,2.58999991
vbl_ssh_allreg_feb.60799,2.61999989
vbl_ssh_allreg_feb.60800,2.6400001
vbl_ssh_allreg_feb.60801,2.63000011
vbl_ssh_allreg_feb.60802,2.72000003
vbl_ssh_allreg_feb.60803,2.75
vbl_ssh_allreg_feb.60804,2.75999999
vbl_ssh_allreg_feb.60805,2.74000001
vbl_ssh_allreg_feb.40,3.94000006
vbl_ssh_allreg_feb.60806,2.68000007
vbl_ssh_allreg_feb.60807,2.53999996
vbl_ssh_allreg_feb.60808,2.41000009
vbl_ssh_allreg_feb.60809,1.89999998
vbl_ssh_allreg_feb.60810,2.1099999
vbl_ssh_allreg_feb.60811,2.44000006
vbl_ssh_allreg_feb.60812,2.68000007
vbl_ssh_allreg_feb.60813,2.81999993
vbl_ssh_allreg_feb.60814,2.91000009
vbl_ssh_allreg_feb.60815,2.98000002
vbl_ssh_allreg_feb.60816,3.01999998
vbl_ssh_allreg_feb.60817,3.05999994
vbl_ssh_allreg_feb.60818,3.08999991
vbl_ssh_allreg_feb.60819,3.1099999
vbl_ssh_allreg_feb.60820,3.11999989
vbl_ssh_allreg_feb.60821,3.1400001
vbl_ssh_allreg_feb.60822,3.1500001
vbl_ssh_allreg_feb.60823,3.16000009
vbl_ssh_allreg_feb.60824,3.17000008
vbl_ssh_allreg_feb.60825,3.19000006
vbl_ssh_allreg_feb.60826,3.20000005
vbl_ssh_allreg_feb.60827,3.21000004
vbl_ssh_allreg_feb.60828,3.22000003
vbl_ssh_allreg_feb.60829,3.23000002
vbl_ssh_allreg_feb.60830,3.24000001
vbl_ssh_allreg_feb.60831,3.25
vbl_ssh_allreg_feb.60832,3.25
vbl_ssh_allreg_feb.60833,3.25999999
vbl_ssh_allreg_feb.60834,3.26999998
vbl_ssh_allreg_feb.60835,3.26999998
vbl_ssh_allreg_feb.60836,1.60000002
vbl_ssh_allreg_feb.60837,1.84000003
vbl_ssh_allreg_feb.60838,2.02999997
vbl_ssh_allreg_feb.60839,2.16000009
vbl_ssh_allreg_feb.60840,2.24000001
vbl_ssh_allreg_feb.60841,2.30999994
vbl_ssh_allreg_feb.60842,2.3599999
vbl_ssh_allreg_feb.60843,2.3900001
vbl_ssh_allreg_feb.60844,2.42000008
vbl_ssh_allreg_feb.60845,2.45000005
vbl_ssh_allreg_feb.60846,2.49000001
vbl_ssh_allreg_feb.60847,2.5
vbl_ssh_allreg_feb.60848,2.46000004
vbl_ssh_allreg_feb.60849,2.3900001
vbl_ssh_allreg_feb.60850,2.29999995
vbl_ssh_allreg_feb.60851,2.53999996
vbl_ssh_allreg_feb.60852,2.63000011
vbl_ssh_allreg_feb.60853,2.69000006
vbl_ssh_allreg_feb.60854,2.69000006
vbl_ssh_allreg_feb.60855,2.63000011
vbl_ssh_allreg_feb.60856,2.51999998
vbl_ssh_allreg_feb.60857,2.46000004
vbl_ssh_allreg_feb.60858,2.25
vbl_ssh_allreg_feb.60859,2.25
vbl_ssh_allreg_feb.60860,2.42000008
vbl_ssh_allreg_feb.60861,2.5999999
vbl_ssh_allreg_feb.60862,2.72000003
vbl_ssh_allreg_feb.60863,2.81999993
vbl_ssh_allreg_feb.60864,2.9000001
vbl_ssh_allreg_feb.60865,2.95000005
vbl_ssh_allreg_feb.60866,2.99000001
vbl_ssh_allreg_feb.60867,3.02999997
vbl_ssh_allreg_feb.60868,3.04999995
vbl_ssh_allreg_feb.60869,3.05999994
vbl_ssh_allreg_feb.60870,3.07999992
vbl_ssh_allreg_feb.60871,3.08999991
vbl_ssh_allreg_feb.60872,3.0999999
vbl_ssh_allreg_feb.60873,3.0999999
vbl_ssh_allreg_feb.60874,3.1099999
vbl_ssh_allreg_feb.60875,3.1400001
vbl_ssh_allreg_feb.60876,3.17000008
vbl_ssh_allreg_feb.60877,3.18000007
vbl_ssh_allreg_feb.60878,3.20000005
vbl_ssh_allreg_feb.60879,3.21000004
vbl_ssh_allreg_feb.60880,3.22000003
vbl_ssh_allreg_feb.60881,3.23000002
vbl_ssh_allreg_feb.60882,3.23000002
vbl_ssh_allreg_feb.60883,3.24000001
vbl_ssh_allreg_feb.60884,3.25
vbl_ssh_allreg_feb.60885,3.25999999
vbl_ssh_allreg_feb.60886,1.84000003
vbl_ssh_allreg_feb.60887,2.00999999
vbl_ssh_allreg_feb.60888,2.1500001
vbl_ssh_allreg_feb.60889,2.22000003
vbl_ssh_allreg_feb.60890,2.29999995
vbl_ssh_allreg_feb.60891,2.33999991
vbl_ssh_allreg_feb.60892,2.38000011
vbl_ssh_allreg_feb.60893,2.3900001
vbl_ssh_allreg_feb.60894,2.41000009
vbl_ssh_allreg_feb.60895,2.3900001
vbl_ssh_allreg_feb.60896,2.25999999
vbl_ssh_allreg_feb.60897,2.16000009
vbl_ssh_allreg_feb.60898,2.20000005
vbl_ssh_allreg_feb.60899,2.45000005
vbl_ssh_allreg_feb.60900,2.55999994
vbl_ssh_allreg_feb.60901,2.61999989
vbl_ssh_allreg_feb.60902,2.5999999
vbl_ssh_allreg_feb.60903,2.53999996
vbl_ssh_allreg_feb.60904,2.5
vbl_ssh_allreg_feb.60905,2.38000011
vbl_ssh_allreg_feb.60906,2.3499999
vbl_ssh_allreg_feb.60907,2.44000006
vbl_ssh_allreg_feb.60908,2.54999995
vbl_ssh_allreg_feb.60909,2.6400001
vbl_ssh_allreg_feb.60910,2.73000002
vbl_ssh_allreg_feb.60911,2.79999995
vbl_ssh_allreg_feb.60912,2.8599999
vbl_ssh_allreg_feb.60913,2.91000009
vbl_ssh_allreg_feb.60914,2.95000005
vbl_ssh_allreg_feb.60915,2.98000002
vbl_ssh_allreg_feb.60916,3
vbl_ssh_allreg_feb.60917,3.02999997
vbl_ssh_allreg_feb.60918,3.03999996
vbl_ssh_allreg_feb.60919,3.06999993
vbl_ssh_allreg_feb.60920,3.0999999
vbl_ssh_allreg_feb.60921,3.08999991
vbl_ssh_allreg_feb.60922,3.08999991
vbl_ssh_allreg_feb.60923,3.1099999
vbl_ssh_allreg_feb.60924,3.13000011
vbl_ssh_allreg_feb.60925,3.1500001
vbl_ssh_allreg_feb.60926,3.17000008
vbl_ssh_allreg_feb.60927,3.18000007
vbl_ssh_allreg_feb.60928,3.20000005
vbl_ssh_allreg_feb.60929,3.21000004
vbl_ssh_allreg_feb.60930,3.22000003
vbl_ssh_allreg_feb.60931,3.22000003
vbl_ssh_allreg_feb.60932,3.24000001
vbl_ssh_allreg_feb.60933,3.24000001
vbl_ssh_allreg_feb.60934,1.40999997
vbl_ssh_allreg_feb.60935,1.71000004
vbl_ssh_allreg_feb.60936,1.91999996
vbl_ssh_allreg_feb.60937,2.13000011
vbl_ssh_allreg_feb.60938,2.19000006
vbl_ssh_allreg_feb.60939,2.26999998
vbl_ssh_allreg_feb.60940,2.31999993
vbl_ssh_allreg_feb.60941,2.32999992
vbl_ssh_allreg_feb.60942,2.32999992
vbl_ssh_allreg_feb.60943,2.28999996
vbl_ssh_allreg_feb.60944,2.17000008
vbl_ssh_allreg_feb.41,3.94000006
vbl_ssh_allreg_feb.60945,2.17000008
vbl_ssh_allreg_feb.60946,1.55999994
vbl_ssh_allreg_feb.60947,2.16000009
vbl_ssh_allreg_feb.60948,2.31999993
vbl_ssh_allreg_feb.60949,2.45000005
vbl_ssh_allreg_feb.60950,2.54999995
vbl_ssh_allreg_feb.60951,2.56999993
vbl_ssh_allreg_feb.60952,2.53999996
vbl_ssh_allreg_feb.60953,2.51999998
vbl_ssh_allreg_feb.60954,2.45000005
vbl_ssh_allreg_feb.60955,2.43000007
vbl_ssh_allreg_feb.60956,2.47000003
vbl_ssh_allreg_feb.60957,2.51999998
vbl_ssh_allreg_feb.60958,2.57999992
vbl_ssh_allreg_feb.60959,2.63000011
vbl_ssh_allreg_feb.60960,2.69000006
vbl_ssh_allreg_feb.60961,2.75
vbl_ssh_allreg_feb.60962,2.80999994
vbl_ssh_allreg_feb.60963,2.8599999
vbl_ssh_allreg_feb.60964,2.8900001
vbl_ssh_allreg_feb.60965,2.93000007
vbl_ssh_allreg_feb.60966,2.97000003
vbl_ssh_allreg_feb.60967,3
vbl_ssh_allreg_feb.60968,3.02999997
