FID,nov_ssh
vbl_ssh_allreg_nov.60296,3.1500001
vbl_ssh_allreg_nov.60297,3.16000009
vbl_ssh_allreg_nov.60298,3.18000007
vbl_ssh_allreg_nov.60299,3.20000005
vbl_ssh_allreg_nov.60300,3.21000004
vbl_ssh_allreg_nov.60301,3.23000002
vbl_ssh_allreg_nov.60302,3.25
vbl_ssh_allreg_nov.60303,3.25999999
vbl_ssh_allreg_nov.60304,3.26999998
vbl_ssh_allreg_nov.60305,3.28999996
vbl_ssh_allreg_nov.60306,3.30999994
vbl_ssh_allreg_nov.60307,3.30999994
vbl_ssh_allreg_nov.60308,1.01999998
vbl_ssh_allreg_nov.60309,1.11000001
vbl_ssh_allreg_nov.60310,0.89999998
vbl_ssh_allreg_nov.60311,0.85000002
vbl_ssh_allreg_nov.60312,0.98000002
vbl_ssh_allreg_nov.60313,1
vbl_ssh_allreg_nov.60314,1.05999994
vbl_ssh_allreg_nov.60315,1.09000003
vbl_ssh_allreg_nov.60316,1.19000006
vbl_ssh_allreg_nov.60317,1.32000005
vbl_ssh_allreg_nov.60318,1.52999997
vbl_ssh_allreg_nov.60319,1.71000004
vbl_ssh_allreg_nov.60320,1.88
vbl_ssh_allreg_nov.60321,2
vbl_ssh_allreg_nov.32,3.93000007
vbl_ssh_allreg_nov.60322,2.08999991
vbl_ssh_allreg_nov.60323,2.18000007
vbl_ssh_allreg_nov.60324,2.25999999
vbl_ssh_allreg_nov.60325,2.33999991
vbl_ssh_allreg_nov.60326,2.41000009
vbl_ssh_allreg_nov.60327,2.47000003
vbl_ssh_allreg_nov.60328,2.50999999
vbl_ssh_allreg_nov.60329,2.55999994
vbl_ssh_allreg_nov.60330,2.5999999
vbl_ssh_allreg_nov.60331,2.6400001
vbl_ssh_allreg_nov.60332,2.72000003
vbl_ssh_allreg_nov.60333,2.76999998
vbl_ssh_allreg_nov.60334,2.79999995
vbl_ssh_allreg_nov.60335,2.82999992
vbl_ssh_allreg_nov.60336,2.83999991
vbl_ssh_allreg_nov.60337,2.8499999
vbl_ssh_allreg_nov.60338,2.88000011
vbl_ssh_allreg_nov.60339,2.94000006
vbl_ssh_allreg_nov.60340,2.98000002
vbl_ssh_allreg_nov.60341,3.00999999
vbl_ssh_allreg_nov.60342,3.03999996
vbl_ssh_allreg_nov.60343,3.05999994
vbl_ssh_allreg_nov.60344,3.08999991
vbl_ssh_allreg_nov.60345,3.1099999
vbl_ssh_allreg_nov.60346,3.11999989
vbl_ssh_allreg_nov.60347,3.1400001
vbl_ssh_allreg_nov.60348,3.16000009
vbl_ssh_allreg_nov.60349,3.18000007
vbl_ssh_allreg_nov.60350,3.20000005
vbl_ssh_allreg_nov.60351,3.22000003
vbl_ssh_allreg_nov.60352,3.23000002
vbl_ssh_allreg_nov.60353,3.24000001
vbl_ssh_allreg_nov.60354,3.25999999
vbl_ssh_allreg_nov.60355,3.26999998
vbl_ssh_allreg_nov.33,3.93000007
vbl_ssh_allreg_nov.60356,3.28999996
vbl_ssh_allreg_nov.60357,3.29999995
vbl_ssh_allreg_nov.60358,3.30999994
vbl_ssh_allreg_nov.60359,0.88
vbl_ssh_allreg_nov.60360,0.75999999
vbl_ssh_allreg_nov.60361,0.5
vbl_ssh_allreg_nov.60362,0.56999999
vbl_ssh_allreg_nov.60363,0.89999998
vbl_ssh_allreg_nov.60364,0.95999998
vbl_ssh_allreg_nov.60365,1.05999994
vbl_ssh_allreg_nov.60366,1.14999998
vbl_ssh_allreg_nov.60367,1.25
vbl_ssh_allreg_nov.60368,1.38
vbl_ssh_allreg_nov.60369,1.55999994
vbl_ssh_allreg_nov.60370,1.72000003
vbl_ssh_allreg_nov.60371,1.85000002
vbl_ssh_allreg_nov.60372,1.96000004
vbl_ssh_allreg_nov.60373,2.04999995
vbl_ssh_allreg_nov.60374,2.13000011
vbl_ssh_allreg_nov.60375,2.21000004
vbl_ssh_allreg_nov.60376,2.28999996
vbl_ssh_allreg_nov.60377,2.3599999
vbl_ssh_allreg_nov.60378,2.42000008
vbl_ssh_allreg_nov.60379,2.47000003
vbl_ssh_allreg_nov.60380,2.50999999
vbl_ssh_allreg_nov.60381,2.53999996
vbl_ssh_allreg_nov.60382,2.5999999
vbl_ssh_allreg_nov.60383,2.67000008
vbl_ssh_allreg_nov.60384,2.73000002
vbl_ssh_allreg_nov.60385,2.75999999
vbl_ssh_allreg_nov.60386,2.78999996
vbl_ssh_allreg_nov.60387,2.80999994
vbl_ssh_allreg_nov.60388,2.78999996
vbl_ssh_allreg_nov.60389,2.80999994
